barcode,medicine_id
8697772570057,MED520
8697772570064,MED111
8697791000931,MED221
8697791000948,MED221
8697791001044,MED221
8697927021410,MED883
8697927021571,MED929
8697927023971,MED553
8697927024183,MED553
8697927024701,MED926
8697927044969,MED815
8697927090027,MED742
8697927090034,MED742
8697927090249,MED613
8697927091321,MED1059
8697927091604,MED611
8697927094261,MED321
8697927094292,MED321
8697927094759,MED585
8697927280435,MED742
8697927550590,MED643
8697927550606,MED643
8697927554413,MED632
8697927574749,MED585
8697928020061,MED223
8697928020122,MED679
8697928020146,MED679
8697928020184,MED223
8697929020220,MED918
8697929020411,MED509
8697929090612,MED1058
8697929090636,MED1058
8697929090650,MED1058
8697929090674,MED1058
8697936014908,MED926
8697936023276,MED340
8697936093613,MED1044
8697936093651,MED1044
8697936093675,MED1044
8697936245036,MED207
8697936544610,MED558
8698747570027,MED407
8698856090065,MED1012
8698856090072,MED1013
8698856090089,MED1013
8698856150103,MED907
8698856340146,MED177
8698856350183,MED179
8698856350305,MED289
8698856510150,MED177
8698856540249,MED298
8698856540409,MED555
8698856610232,MED297
8698856750167,MED177
8699043890475,MED950
8699043890482,MED950
8699043890499,MED950
8699043890505,MED950
8699043890512,MED950
8699074950520,MED1053
8699228090041,MED147
8699228090058,MED147
8699262000198,MED981
8699262090601,MED981
8699262090618,MED981
8699262090625,MED982
8699262950257,MED948
8699262950271,MED948
8699262950295,MED948
8699262950356,MED948
8699293010968,MED465
8699293043799,MED819
8699293090533,MED695
8699293091066,MED470
8699293094029,MED487
8699293094036,MED487
8699293094043,MED853
8699293094050,MED853
8699293094067,MED853
8699293094074,MED853
8699293095118,MED695
8699293095125,MED695
8699293097334,MED1084
8699293280545,MED696
8699293280552,MED695
8699293545965,MED547
8699293700258,MED406
8699324080014,MED938
8699324080045,MED939
8699490561201,MED294
8699490561218,MED293
8699490571040,MED907
8699490579015,MED457
8699502091412,MED671
8699502151833,MED1122
8699502151840,MED1122
8699502151857,MED1122
8699502151864,MED1122
8699502151871,MED1122
8699502151888,MED1122
8699502280243,MED671
8699502280250,MED671
8699502770409,MED663
8699502770607,MED663
8699504010077,MED474
8699504010114,MED084
8699504012163,MED265
8699504030020,MED082
8699504030037,MED082
8699504030051,MED085
8699504030075,MED085
8699504030303,MED080
8699504030471,MED080
8699504040012,MED019
8699504090406,MED1014
8699504090659,MED1014
8699504090703,MED1020
8699504090758,MED1020
8699504090970,MED1014
8699504091113,MED1020
8699504091199,MED1027
8699504091205,MED1027
8699504091236,MED1014
8699504091243,MED1014
8699504093001,MED265
8699504093018,MED265
8699504120097,MED097
8699504570038,MED084
8699504890013,MED019
8699504890020,MED019
8699506012055,MED217
8699506752050,MED217
8699506831014,MED217
8699508010509,MED229
8699508090020,MED313
8699508090488,MED703
8699508090495,MED703
8699508090532,MED703
8699508090556,MED703
8699508120086,MED323
8699508120093,MED327
8699508150120,MED699
8699508150229,MED319
8699508270088,MED735
8699508270095,MED735
8699508270101,MED932
8699508270118,MED932
8699508270194,MED736
8699508270200,MED736
8699508270217,MED736
8699508270224,MED736
8699508270354,MED707
8699508270361,MED707
8699508270378,MED707
8699508270538,MED737
8699508270545,MED738
8699508270576,MED739
8699508270583,MED739
8699508270651,MED739
8699508270668,MED739
8699508270675,MED739
8699508270705,MED684
8699508280131,MED703
8699508280148,MED703
8699508280155,MED703
8699508280162,MED703
8699508280186,MED703
8699508280346,MED702
8699508280353,MED702
8699508570119,MED319
8699508610020,MED731
8699508750016,MED307
8699508750061,MED699
8699508750115,MED731
8699508750122,MED731
8699508750139,MED731
8699508750405,MED699
8699508750634,MED731
8699508750641,MED731
8699510030199,MED1125
8699510030205,MED1125
8699511090208,MED641
8699511099171,MED1085
8699511099201,MED1093
8699511120011,MED417
8699511770049,MED954
8699511940039,MED782
8699512008783,MED567
8699512010021,MED479
8699512540016,MED551
8699512540047,MED550
8699512590011,MED576
8699514010036,MED986
8699514010173,MED272
8699514010180,MED272
8699514010197,MED272
8699514010364,MED986
8699514010937,MED036
8699514010944,MED272
8699514010968,MED272
8699514010982,MED272
8699514011002,MED272
8699514011187,MED272
8699514013013,MED991
8699514016809,MED1107
8699514016908,MED1105
8699514017004,MED1108
8699514017523,MED239
8699514020011,MED919
8699514020110,MED545
8699514020127,MED545
8699514030034,MED399
8699514030188,MED173
8699514030577,MED165
8699514037491,MED165
8699514039273,MED161
8699514039280,MED173
8699514042723,MED712
8699514080053,MED1133
8699514080541,MED1133
8699514085621,MED155
8699514090021,MED162
8699514090199,MED1127
8699514090472,MED1062
8699514090502,MED1062
8699514090922,MED1128
8699514090939,MED1128
8699514090977,MED046
8699514091509,MED009
8699514091516,MED009
8699514091523,MED047
8699514091530,MED047
8699514091813,MED1127
8699514091820,MED1127
8699514091837,MED1127
8699514091974,MED1133
8699514091998,MED1133
8699514092476,MED647
8699514093251,MED063
8699514093923,MED639
8699514093978,MED1063
8699514094357,MED013
8699514094432,MED847
8699514094449,MED847
8699514094760,MED1107
8699514094784,MED469
8699514095422,MED852
8699514095613,MED132
8699514095910,MED1128
8699514096368,MED1128
8699514096375,MED1128
8699514096382,MED1128
8699514096436,MED1133
8699514096467,MED1133
8699514096474,MED847
8699514096481,MED847
8699514096764,MED990
8699514096788,MED990
8699514097839,MED1094
8699514097846,MED1094
8699514099123,MED1063
8699514099130,MED1063
8699514099147,MED1063
8699514129110,MED007
8699514130123,MED166
8699514136125,MED812
8699514150183,MED306
8699514150213,MED306
8699514150237,MED306
8699514150244,MED306
8699514150695,MED306
8699514150718,MED1123
8699514150725,MED1123
8699514150732,MED1123
8699514150749,MED1123
8699514150756,MED1123
8699514150770,MED1123
8699514150787,MED1123
8699514150879,MED517
8699514151807,MED1138
8699514159162,MED160
8699514170167,MED763
8699514280057,MED517
8699514280064,MED517
8699514340041,MED166
8699514340072,MED022
8699514340089,MED164
8699514340188,MED007
8699514346302,MED022
8699514350088,MED1163
8699514350255,MED286
8699514352853,MED211
8699514380092,MED1140
8699514380108,MED287
8699514380139,MED1162
8699514382867,MED211
8699514480037,MED288
